ID,DOB,mean_temp
1,5,75.68333333
2,5,75.68333333
3,5,75.68333333
4,5,75.74222222
5,5,75.58
6,4,75.68333333
7,4,75.68333333
8,4,75.68333333
9,4,75.74222222
10,4,75.74222222
11,6,75.75595238
12,6,75.75595238
13,6,75.77142857
14,6,75.69166667
15,6,75.69166667
16,6,75.69166667
17,6,
18,6,74.82619048
19,6,
20,6,75.18333333
21,6,75.18333333
22,6,74.82380952
23,6,
24,6,75.75595238
25,6,75.81904762
26,6,75.77142857
27,6,75.77142857
28,6,75.77142857
29,7,75.77142857
30,7,75.69166667
31,7,75.69166667
32,7,75.69166667
33,7,74.82619048
34,7,74.82619048
35,7,74.82619048
36,7,75.05897436
37,7,74.82380952
38,7,75.75595238
39,7,75.75595238
40,7,75.81904762
41,7,
42,2,75.74222222
43,2,74.71111111
44,2,
45,2,74.78444444
46,7,74.86666667
47,7,76.35
48,7,76.35
49,7,76.3
50,2,76.21777778
51,7,76.3
52,2,75.85333333
53,2,75.85333333
54,8,75.77142857
55,8,75.69166667
56,3,75.59
57,8,75.69166667
58,8,74.82619048
59,9,74.66923077
60,9,74.89722222
61,9,74.89722222
62,9,74.65128205
63,9,74.65128205
64,9,74.72307692
65,8,74.86666667
66,8,74.86666667
67,8,76.35
68,8,76.35
69,10,74.72307692
70,10,74.72307692
71,10,76.16666667
72,10,76.16666667
73,10,76.15384615
74,10,76.15384615
75,10,76.15384615
76,10,75.75897436
77,10,75.75897436
78,10,76.0025641
79,10,76.0025641
80,10,76.0025641
81,10,75.73333333
82,12,75.75897436
83,12,76.0025641
84,12,76.0025641
85,12,75.73333333
86,12,75.73333333
87,11,76.15384615
88,11,76.15384615
89,11,76.15384615
90,11,75.75897436
91,11,75.75897436
92,14,76.0025641
93,13,76.0025641
94,13,76.0025641
95,13,76.0025641
96,13,75.73333333
97,13,75.56794872
98,13,75.56794872
99,13,74.66923077
100,13,74.66923077
101,13,74.66923077
102,13,75.73333333
103,13,76.00512821
104,13,74.89722222
105,13,74.89722222
106,13,74.65128205
107,13,74.72307692
108,1,74.78444444
109,13,74.72307692
110,13,76.16666667
111,15,76.00512821
112,15,76.00512821
113,15,75.73333333
114,15,75.73333333
115,15,76.00512821
116,15,76.00512821
117,15,76.00512821
118,15,74.49615385
119,15,74.49615385
120,15,73.91153846
121,15,73.91153846
122,16,73.91153846
123,16,73.91153846
124,16,76.14166667
125,16,76.14166667
126,16,74.66923077
127,16,74.65128205
128,16,73.91153846
129,16,73.91153846
130,16,74.49615385
131,16,74.49615385
132,16,75.73333333
133,16,76.00512821
134,16,76.00512821
135,16,74.49615385
136,16,74.49615385
137,16,74.49615385
138,16,74.49615385
139,16,73.91153846
140,16,73.91153846
141,16,76.14166667
142,17,74.72307692
143,17,76.14166667
144,17,76.14166667
145,18,74.49615385
146,18,75.70769231
147,18,76.14166667
148,18,76.14166667
149,19,76.16666667
150,19,76.15384615
151,19,
152,19,75.73333333
153,19,75.75897436
154,19,
155,19,
156,19,75.75897436
157,19,75.62948718
158,19,75.56794872
159,19,
160,19,75.70769231
161,19,73.91153846
162,20,75.64848485
163,20,74.61944444
164,20,75.71666667
165,20,74.82424242
166,20,75.63194444
167,20,76.00277778
168,21,75.69722222
169,21,
170,21,
171,21,76.00277778
172,21,75.73055556
173,21,76.16666667
174,21,73.86527778
175,21,73.86527778
176,21,75.63194444
177,21,74.61944444
178,21,75.60555556
179,21,76.16666667
180,21,76.00277778
181,22,76.20909091
182,22,75.64848485
183,22,75.64848485
184,22,75.8
185,22,
186,23,74.63333333
187,23,75.8
188,23,
189,23,
190,24,74.65454545
191,24,74.65454545
192,24,
193,24,74.86666667
194,24,76.20909091
195,25,74.79393939
196,25,74.60454545
197,25,76.02121212
198,25,76.02121212
199,25,74.65454545
200,26,75.74
201,26,74.86666667
202,26,75.74
203,26,76.04
204,26,75.95333333
205,27,
206,27,
207,27,76.04
208,27,76.31111111
209,28,75.8875
210,28,74.63703704
211,28,75.8875
212,28,75.86666667
213,28,75.81481481
214,28,76.31111111
215,28,
216,28,
217,28,76.40740741
218,28,75.81481481
219,28,76.11111111
220,28,75.67037037
221,28,75.86666667
222,28,74.58518519
223,29,76.25925926
224,29,74.63703704
225,29,76.11111111
226,29,
227,29,
228,30,76.40740741
229,30,76.40740741
230,30,75.67037037
231,30,76.11111111
232,30,75.81481481
233,31,76.31851852
234,31,76.31851852
235,31,74.76851852
236,31,74.94444444
237,31,76.08888889
238,31,74.1537037
239,31,76.08888889
240,31,
241,32,75.67037037
242,32,74.58518519
243,32,75.875
244,32,76.11111111
245,32,
246,32,76.31851852
247,32,75.17777778
248,32,74.94444444
249,32,
250,32,76.31851852
251,32,74.94444444
252,32,74.76851852
253,33,76.31111111
254,33,74.76851852
255,33,76.31111111
256,33,74.76851852
257,33,76.31851852
258,33,74.58518519
259,33,74.58518519
260,34,75.83888889
261,34,75.83888889
262,34,75.92222222
263,34,75.86666667
264,34,74.63703704
265,34,75.83888889
266,34,75.83888889
267,34,75.92222222
268,34,75.86666667
269,34,75.86666667
270,34,75.81481481
271,34,75.81481481
272,34,74.94444444
273,35,
274,35,
275,35,76.40740741
276,35,74.85
277,35,75.83888889
278,35,76.31851852
279,36,75.05416667
280,36,76.07083333
281,36,74.88541667
282,36,
283,37,76.31904762
284,37,76.8047619
285,37,76.8047619
286,37,74.80952381
287,37,75.88571429
288,38,77.04444444
289,38,
290,38,75.19166667
291,38,76.78888889
292,38,75.19166667
293,38,76.95
294,38,74.69166667
295,39,76.95
296,39,74.81111111
297,39,76.95
298,39,74.69166667
299,39,74.69166667
300,39,76.58333333
301,39,75.60555556
302,39,76.58333333
303,39,74.81111111
304,40,76.58333333
305,40,74.69166667
306,40,76.42222222
307,40,76.78888889
308,40,76.42222222
309,41,76.23333333
310,41,75.04666667
311,41,74.86
312,41,75.06666667
313,41,75.56666667
314,41,76.68
315,41,75.32333333
316,41,76.23333333
317,41,
318,41,75.04666667
319,41,76.19333333
320,41,74.86
321,42,75.06666667
322,42,76.40666667
323,42,76.34666667
324,43,76.40666667
325,43,76.40666667
326,43,76.03333333
327,43,76.52
328,43,76.40666667
329,43,76.34666667
330,43,76.68
331,43,75.06666667
332,43,75.06666667
333,43,76.40666667
334,43,76.03333333
335,43,76.58666667
336,43,75.04666667
337,43,74.86
338,43,75.56666667
339,43,76.48
340,43,76.48
341,43,76.71333333
342,43,76.40666667
343,43,76.03333333
344,43,76.58666667
345,43,76.58666667
346,43,76.58666667
347,43,76.98
348,45,76.53333333
349,45,76.79166667
350,45,76.55
351,45,75.64166667
352,45,75.90833333
353,45,76.50833333
354,45,75.39166667
355,,
356,44,76.50833333
357,44,76.94166667
358,44,77.41666667
359,44,76.25
360,44,76.75833333
361,44,76.53333333
362,44,77.41666667
363,44,76.55
364,45,76.99166667
365,45,76.99166667
366,45,76.99166667
367,45,76.99166667
368,45,77.41666667
369,46,76.75833333
370,46,76.75833333
371,46,76.75833333
372,46,76.75833333
373,46,76.79166667
374,46,76.25
375,46,76.99166667
376,46,76.99166667
377,46,76.75833333
378,46,76.99166667
379,46,76.25
380,46,77.41666667
381,46,
382,46,75.77916667
383,46,76.99166667
384,47,76.99166667
385,47,76.53333333
386,47,75.39166667
387,48,76.99166667
388,48,76.25
389,48,75.77916667
390,48,
391,48,76.50833333
392,49,75.40416667
393,49,
394,49,75.40416667
395,49,75.40416667
396,49,75.64166667
397,49,76.55
398,49,76.55
399,49,76.75833333
400,49,75.64166667
401,49,75.64166667
402,49,75.61666667
403,49,75.90833333
404,49,75.90833333
405,49,75.90833333
406,49,75.40416667
407,50,75.61666667
408,50,76.50833333
409,50,76.94166667
410,50,76.94166667
411,50,77.41666667
412,51,75.61666667
413,51,76.75833333
414,51,76.99166667
415,52,76
416,52,76.63333333
417,52,77.02222222
418,53,
419,53,76.76666667
420,54,76.76666667
421,54,76.93333333
422,53,75.7
423,53,76.12777778
424,55,76.6
425,55,76.58888889
426,55,77.04444444
427,56,76.12777778
428,56,76.12777778
429,56,76.03333333
430,56,76.93333333
431,57,75.7
432,57,
433,57,
434,58,
435,58,
436,58,
437,58,
438,58,
439,58,
440,58,
441,58,
442,58,
443,58,
444,58,
445,58,
446,58,
447,59,
448,59,
449,59,
450,60,
451,60,
452,60,
453,60,
454,60,
455,60,
456,60,
457,60,
458,61,
459,61,
460,61,
461,62,
462,62,
463,63,
464,63,