cross,ID,age_first_brood,size_at_first_brood,first_brood_size,interbrood,dry_offspring_weight_1,dry_offspring_weight_2
YHF5QM6,548,71,18.2,7,25,NA,0.00109090909090909
YHF5QM6,549,72,18.14,3,26,0.00133333333333333,0.00114285714285714
YHF5QM6,550,80,19.01,9,28,0.000555555555555556,0.000722222222222222
YHF5QM6,551,65,18.64,7,28,0.000714285714285714,0.000866666666666667
YHF5QM6,552,69,19.2,5,24,0.001,0.000833333333333333
YHF5QM6,554,71,19.12,4,20,0.001,6e-04
YHF5QM6,555,67,18.75,8,19,0.0005125,0.000666666666666667
YHF5QM6,556,71,18.23,1,24,0.001,0.000692307692307692
YHF5QM6,557,95,23.03,17,27,0.000764705882352941,0.00076
YHF5QM6,568,63,19.27,4,22,0.00025,0.000769230769230769
YHF5QM6,570,71,19.92,7,26,5e-04,6e-04
YHF5QM6,571,69,19.99,6,22,5e-04,0.000533333333333333
YHF5QM6,583,98,22.24,13,26,0.000776923076923077,0.000836842105263158
YHF5QM6,584,68,19.91,11,27,0.000563636363636364,0.000715789473684211
YHF5QM6,585,70,18.56,12,29,0.00049375,0.000575
YHF5QM6,586,88,19.32,3,26,8e-04,0.00055
YHF5QM6,588,74,19.03,7,28,0.000485714285714286,0.000623076923076923
YHF5QM6,590,73,18.78,5,27,NA,0.001
YHF5QM6,591,99,20.72,12,28,0.000666666666666667,0.000642857142857143
YHF5QM6,597,67,19.12,4,25,0.000475,0.000771428571428571
YHF5QM6,602,66,18.32,6,24,0.000533333333333333,0.00058125
YHF5QM6,603,82,20.68,13,21,0.000576923076923077,0.000635
YHF5QM6,604,66,18.23,2,25,4e-04,6e-04
YHF5QM6,605,67,18.3,5,24,5e-04,0.000530769230769231
YHF5QM6,606,85,18.54,5,25,0.00078,0.00060625
YHF5QM6,622,69,18.76,6,23,0.000616666666666667,0.0007875
YHF5QM6,623,99,21.21,8,27,0.0006875,0.000704166666666667
YHF5QM6,624,67,16.98,7,NA,0.000528571428571429,NA
YHF5QM6,626,81,21.69,7,23,0.000707142857142857,0.000731578947368421
YHF5QM6,628,95,21.21,9,23,0.000933333333333333,0.000785714285714286
YHF5QM6,629,92,22.16,13,23,0.000746153846153846,0.00080625
YHF5QM6,632,68,19.3,8,24,0.000666666666666667,0.000777777777777778
YHF5QM6,686,68,17.54,2,26,0.00055,0.000683333333333333
YHF5QM6,687,69,18,6,25,0.000666666666666667,0.000866666666666667
YHF5QM6,689,96,20.22,11,26,0.000854545454545455,0.000933333333333333
YHF5QM6,697,68,17.57,3,27,0.000733333333333333,0.00076
YHF5QM6,698,65,18.15,6,24,0.000583333333333333,0.000933333333333333
YHF5QM6,699,70,18.45,3,25,7e-04,0.000885714285714286
YHF5QM6,700,68,19.01,2,24,0.00075,0.001
YHF5QM6,701,65,18.52,4,25,7e-04,0.000866666666666667
YHF5QM6,702,72,17.7,3,25,NA,0.0009875
YHF5QM6,708,77,21.39,5,23,8e-04,0.000738461538461538
YHF5QM6,709,64,19.25,5,25,6e-04,0.000809090909090909
YHF5QM6,710,67,18.14,6,29,5e-04,0.000576923076923077
YHF5QM6,711,76,20.4,1,11,0.0029,0.000854545454545455
YHF5QM6,712,69,18.45,4,27,0.000475,0.000684615384615385
YHF5QM6,713,74,18.12,1,28,7e-04,8e-04
YHF5QM6,714,67,18.68,4,23,6e-04,0.000628571428571429
YHF5QM6,715,61,18.53,3,25,6e-04,0.000757142857142857
YHF5QM6,745,61,17.64,5,26,0.00052,0.000854545454545455
YHF5QM6,746,59,19.35,1,19,5e-04,0.000607142857142857
YHF5QM6,747,75,17.2,2,26,0.00075,7e-04
YHF5QM6,748,64,19.62,7,25,0.000642857142857143,0.000728571428571429
YHF5QM6,776,60,18.44,5,26,0.00064,0.000772727272727273
YHF5QM6,777,78,19.69,3,21,0.000933333333333333,0.000781818181818182
YHF5QM6,778,63,16.53,4,20,0.000675,0.000736363636363636
YHF5QM6,779,64,18.81,5,23,0.00062,0.000641666666666667
YHF5QM6,780,60,18.92,10,20,0.00046,0.000558823529411765
YHF5QM6,781,63,19.51,5,24,5e-04,8e-04
YHF5QM6,782,64,18.73,5,22,4e-04,0.000555555555555556
YHF5QM6,783,64,19.56,2,20,0.00065,0.000733333333333333
YHF5QM6,784,64,19.96,4,22,0.00085,0.000838461538461538
YHF5QM6,785,58,18.27,5,24,0.00048,0.00058
YHF5QM6,786,71,20.15,4,27,0.00045,0.000753846153846154
YHF5QM6,787,61,19.1,7,23,8e-04,0.000638888888888889
YHF5QM6,788,73,18.99,5,23,0.00082,3e-04
YHF5QM6,790,88,20.88,15,27,0.000593333333333333,0.000753846153846154
YHF5QM6,791,102,19.8,6,31,0.000866666666666667,0.000683333333333333
YHF5QM6,836,103,19.9,10,33,NA,9e-04
YHF5QM6,841,76,16.94,8,23,NA,0.000775
YHF5QM6,842,64,19.73,9,23,0.000511111111111111,0.000685714285714286
YHF5QM6,843,62,18.67,7,22,0.000642857142857143,0.000623076923076923
YHF5QM6,844,90,22.33,17,28,0.000664705882352941,0.000757142857142857
YHF5QM6,845,66,18.4,2,24,0.00055,0.00085
YHF5QM6,846,67,18.6,8,NA,0.00055,NA
YHF5QM6,848,70,15.42,3,30,0.000633333333333333,NA
YHF5QM6,849,71,16.87,8,29,0.00055,0.000683333333333333
YHF5QM6,850,103,19.01,14,39,0.000692857142857143,NA
YHF5QM6,852,67,19.15,9,26,0.000522222222222222,0.000625
YHF5QM6,866,62,16.85,1,NA,5e-04,NA
YHF5QM6,867,62,18.97,2,22,0.0012,0.000581818181818182
YHF5QM6,868,72,15.97,5,32,6e-04,0.00044
YHF5QM6,872,80,20.93,10,28,NA,0.00102222222222222
YHF5QM6,891,66,18.07,5,24,5e-04,0.0012
YHF5QM6,892,99,21.03,10,33,0.00078,0.000988888888888889
YHF5QM6,893,69,17.73,1,31,2e-04,0.000945454545454545
YHF5QM6,897,97,17.95,12,NA,0.000675,NA
YHF5QM6,898,62,17.13,9,27,0.000488888888888889,0.000621428571428571
YHF5QM6,899,73,17.06,3,NA,0.000633333333333333,NA
YHF5QM6,900,90,15.53,3,42,0.000233333333333333,0.00088
YHF5QM6,901,86,17.31,5,NA,0.00076,NA
YHF5QM6,902,68,18.13,6,31,0.000533333333333333,0.000641666666666667
YHF5QM6,903,65,19.07,8,25,0.00055,0.000666666666666667
YHF5QM6,904,104,22.79,10,28,0.00053,0.000627272727272727
YHF6QM7,502,79,19.39,1,25,8e-04,0.000542857142857143
YHF6QM7,503,98,21.76,12,23,0.000716666666666667,0.000629411764705882
YHF6QM7,504,70,19.32,5,25,0.00056,0.000775
YHF6QM7,505,94,22.36,20,24,0.00072,0.000695833333333333
YHF6QM7,511,76,20.66,6,21,8e-04,0.000523076923076923
YHF6QM7,512,74,20.27,6,23,0.000766666666666667,0.000788888888888889
YHF6QM7,513,70,18.66,5,NA,0.00066,0.00075
YHF6QM7,514,72,18.87,6,32,0.00065,0.00075
YHF6QM7,515,104,22.73,19,25,0.000855555555555556,0.000984210526315789
YHF6QM7,539,107,22.55,7,25,0,0.00123846153846154
YHF6QM7,541,66,21.35,2,32,0,0.00086875
YHF6QM7,578,71,20.33,7,23,0,0.000586363636363636
YHF6QM7,579,70,19.95,2,NA,8e-04,NA
YHF6QM7,580,70,19.72,3,23,0.000733333333333333,0.000730769230769231
YHF6QM7,581,86,19.04,5,31,4e-04,0.000755555555555556
YHF6QM7,582,98,20.35,11,26,0.000772727272727273,8e-04
YHF6QM7,593,97,22.51,7,26,0.000485714285714286,6e-04
YHF6QM7,594,98,23.36,15,27,0.000706666666666667,0.000746153846153846
YHF6QM7,595,72,17.75,4,26,0.00075,0.000911111111111111
YHF6QM7,596,69,18.3,1,20,7e-04,0.00063125
YHF6QM7,598,76,18.22,6,22,0.00075,0.000769230769230769
YHF6QM7,599,70,17.23,9,NA,0.000677777777777778,0.000733333333333333
YHF6QM7,600,63,18.7,1,23,6e-04,0.000753846153846154
YHF6QM7,601,81,18.65,5,32,0.000866666666666667,0.000942857142857143
YHF6QM7,616,87,20.27,11,23,0.000709090909090909,0.000694117647058823
YHF6QM7,659,68,18.51,7,24,7e-04,7e-04
YHF6QM7,660,68,18.83,9,24,0.000722222222222222,0.000688235294117647
YHF6QM7,661,80,18.88,6,24,8e-04,0.000866666666666667
YHF6QM7,662,72,18.33,6,27,4e-04,0.000685714285714286
YHF6QM7,663,72,17.07,3,27,5e-04,0.00065
YHF6QM7,664,92,20.94,5,NA,0.00084,NA
YHF6QM7,665,70,18.55,3,20,0.000666666666666667,0.000688888888888889
YHF6QM7,666,66,17.23,3,24,7e-04,0.000916666666666667
YHF6QM7,667,69,18.49,4,25,0.000725,9e-04
YHF6QM7,668,76,21.28,1,14,0.0017,6e-04
YHF6QM7,669,70,18.79,5,20,0.00078,0.000607142857142857
YHF6QM7,670,90,22.92,8,18,0.000675,0.000725
YHF6QM7,678,69,21.46,2,21,8e-04,0.000638095238095238
YHF6QM7,679,66,17.55,3,21,0.003,6.15384615384615e-05
YHF6QM7,680,68,17.56,7,25,0.000642857142857143,0.000708333333333333
YHF6QM7,683,117,24.16,7,19,0.00128571428571429,0.0009875
YHF6QM7,756,69,18.96,3,NA,0.000566666666666667,NA
YHF6QM7,762,67,19.53,6,NA,0.000616666666666667,NA
YHF6QM7,763,69,19.48,5,22,0.000525,0.000655
YHF6QM7,792,62,17.92,4,22,8e-04,0.00083
YHF6QM7,795,69,19.42,7,29,0.000714285714285714,0.000833333333333333
YHF6QM7,798,77,18.57,3,28,0.000566666666666667,0.00075
YHF6QM7,816,94,22.81,14,31,0.000742857142857143,0.00076
YHF6QM7,818,74,19.67,7,NA,0.00108571428571429,NA
YHF6QM7,819,62,19.7,5,24,0.00054,0.00074
YHF6QM7,827,66,18.09,3,21,0,0.00068
YHF6QM7,828,66,19.22,3,21,0.000866666666666667,0.001
YHF6QM7,829,90,20.17,16,NA,0.000723076923076923,NA
YHF6QM7,830,71,18.79,8,27,NA,0.000954545454545455
YHF6QM7,831,68,19.43,10,27,0.00061,0.00075625
YHF6QM7,832,62,19.58,3,NA,0,NA
YHF6QM7,833,66,19.37,6,24,6e-04,0.000690909090909091
YHF6QM7,835,67,20.91,12,24,0.000541666666666667,0.000616666666666667
YHF6QM7,837,70,18.37,7,NA,0.000714285714285714,NA
YHF6QM7,839,90,21.03,5,28,0,0.00074
YHF6QM7,916,65,17.17,8,24,0.00055,0.000616666666666667
YHF6QM7,918,89,20.36,2,23,NA,0.000654166666666667
YHF6QM7,919,73,17.52,5,28,0.00062,0.000777777777777778
YHF6QM7,920,67,18.31,6,24,0.000666666666666667,0.000708333333333333
YHF6QM7,922,105,23.57,18,26,0.000627777777777778,0.00082962962962963
YHF6QM7,925,63,19.05,5,25,0.00052,0.000944444444444444
YHF6QM7,926,69,20.23,16,25,0.00055,0.00040625
YHF6QM7,929,80,19.14,8,16,0.0005125,0.000576190476190476
YHF6QM7,930,69,18.28,6,28,5e-04,0.000547058823529412
YHF6QM7,931,90,20.66,7,28,0.000571428571428571,0.000625
YHF6QM7,933,60,19.98,4,30,0.00065,5e-04
YHF6QM7,959,71,17.82,5,23,5e-04,0.000577777777777778
YHF6QM7,960,70,18.02,7,22,0.000585714285714286,0.000585714285714286
YHF6QM7,961,98,21.43,13,26,0.000561538461538462,6e-04
YHF6QM7,964,90,21.68,17,25,6e-04,0.000626315789473684
YHF6QM7,965,66,19.51,8,25,0.00055,6e-04
YHF6QM7,966,70,18.56,8,29,6e-04,6e-04
YHF6QM7,967,74,20.7,2,21,0.00095,0.0007625
YHF6QM7,969,94,22.12,14,29,0.000694444444444444,0.00066
YHF6QM7,970,77,19.49,4,42,0.000625,7e-04
YHF6QM7,972,77,21.1,3,28,0.000533333333333333,0.000631578947368421
YHF6QM7,973,71,19.91,2,34,3e-04,NA
YHF6QM7,974,71,19.4,5,28,0.00054,0.000793333333333333
YHF6QM7,975,67,18.09,9,27,0.000433333333333333,0.000429411764705882
YHF6QM7,976,77,20.96,3,20,0.000366666666666667,0.000625
YHF6QM7,977,124,26.84,5,NA,0.00062,NA
YHF6QM7,978,77,21.55,2,40,6e-04,0.0012
YHF6QM7,979,97,24.87,18,22,0.00055,0.00068
YHF6QM7,980,99,21.85,16,27,0.00081875,0.000613333333333333
YHF6QM7,981,75,20.54,4,24,0.000475,0.000788888888888889
YHF6QM7,982,66,20.24,5,23,0.00048,6e-04
YHF6QM7,983,103,19.95,12,27,0.000616666666666667,0.0007375
QF4YHM8,516,77,17.88,1,23,0.00115,0.00125
QF4YHM8,517,80,18.57,1,25,0.0016,0.000683333333333333
QF4YHM8,518,72,20.36,1,21,0.0013,0.00088
QF4YHM8,519,63,16.49,2,23,3e-04,0.000628571428571429
QF4YHM8,520,65,18.33,3,25,0.000833333333333333,0.00075
QF4YHM8,521,64,18.61,6,23,3e-04,0.000818181818181818
QF4YHM8,522,67,19.68,5,21,7e-04,0.001
QF4YHM8,523,66,18.81,2,22,0.00045,0.000744444444444444
QF4YHM8,524,65,19.01,5,20,0.000525,0.00074
QF4YHM8,525,72,20.07,4,25,0.000625,0.000918181818181818
QF4YHM8,526,70,20.87,3,22,0.000633333333333333,0.00075
QF4YHM8,527,62,19.43,8,23,0.0005125,0.000583333333333333
QF4YHM8,528,68,20.04,6,21,0.000516666666666667,0.000654545454545455
QF4YHM8,529,106,25.51,19,21,0.000826315789473684,0.000936
QF4YHM8,543,70,20.31,4,23,5e-04,0.000685714285714286
QF4YHM8,544,83,19.82,6,24,0.000766666666666667,9e-04
QF4YHM8,545,69,20.32,7,21,0.000571428571428571,0.000635294117647059
QF4YHM8,546,102,21.83,13,23,0.000861538461538462,0.000845454545454545
QF4YHM8,547,80,19.3,10,27,0.00066,0.000663636363636364
QF4YHM8,561,62,18.42,2,33,6e-04,0.000571428571428571
QF4YHM8,562,93,23.25,15,23,0.000666666666666667,0.000757894736842105
QF4YHM8,573,61,20.06,3,36,0.000533333333333333,0.00072
QF4YHM8,574,74,19.12,7,29,0.000885714285714286,0.000944444444444444
QF4YHM8,575,66,19.86,7,22,0.000616666666666667,0.0007125
QF4YHM8,576,72,18.33,4,23,0.00068,6e-04
QF4YHM8,577,72,16.71,5,23,0.00056,0.000616666666666667
QF4YHM8,607,97,21.32,7,25,0.000871428571428571,0.00095
QF4YHM8,610,74,18.67,3,25,0.000733333333333333,0.00095
QF4YHM8,611,97,22.6,7,20,0.000742857142857143,0.00072
QF4YHM8,617,71,18.09,7,28,0.000842857142857143,0.0007875
QF4YHM8,618,86,19.56,2,32,0.00075,0.00115
QF4YHM8,619,73,18.95,7,27,0.000785714285714286,8e-04
QF4YHM8,620,104,23.66,13,27,0.000783333333333333,0.000923809523809524
QF4YHM8,633,93,21.05,9,25,0.000722222222222222,7e-04
QF4YHM8,634,74,21.15,1,20,8e-04,0.000776923076923077
QF4YHM8,635,66,17.86,4,21,0.000425,0.00063
QF4YHM8,636,68,19.89,3,18,0.001,0.000746153846153846
QF4YHM8,637,73,19.01,2,25,0.00075,0.000833333333333333
QF4YHM8,638,70,20.21,5,24,0.00068,0.000822222222222222
QF4YHM8,639,90,19.52,8,21,0.0007375,0.0007625
QF4YHM8,640,70,18.07,4,24,0.000675,0.00084
QF4YHM8,648,94,20.01,10,23,0.00064,0.000726666666666667
QF4YHM8,649,71,19.68,5,23,0.00074,0.000871428571428571
QF4YHM8,650,90,21.94,7,23,0.000742857142857143,0.001
QF4YHM8,694,66,18.88,4,21,0.000575,0.000733333333333333
QF4YHM8,695,68,19.18,7,20,0.000457142857142857,0.000671428571428571
QF4YHM8,696,68,18.64,4,32,0.00035,0.000584615384615385
QF4YHM8,716,67,20.21,7,24,0.000628571428571429,0.000841666666666667
QF4YHM8,717,70,21.05,1,25,0.001,0.000584615384615385
QF4YHM8,718,72,19.59,2,26,0.00085,9e-04
QF4YHM8,719,69,19.34,3,24,0.000533333333333333,0.000735294117647059
QF4YHM8,720,71,19.49,2,12,0.00055,0.00075
QF4YHM8,721,77,20.94,6,27,0.000416666666666667,0.000876923076923077
QF4YHM8,732,76,19.68,7,23,9e-04,9e-04
QF4YHM8,733,66,19.57,3,24,0.000633333333333333,0.00084
QF4YHM8,734,62,19.52,5,20,7e-04,0.000733333333333333
QF4YHM8,735,62,20.42,5,20,0.00062,0.000838461538461538
QF4YHM8,736,76,22.7,2,12,0.00095,0.00075
QF4YHM8,750,76,20.14,2,22,0.00065,0.000673684210526316
QF4YHM8,751,70,19.26,8,23,6e-04,0.000707142857142857
QF4YHM8,752,63,18.01,5,23,0.00066,0.000814285714285714
QF4YHM8,753,119,20.5,7,NA,0.00101428571428571,0.00104545454545455
QF4YHM8,803,63,19.96,7,25,0.000557142857142857,0.0008125
QF4YHM8,804,56,18.26,3,24,0.000666666666666667,0.000942857142857143
QF4YHM8,805,96,22.04,8,31,0.0006375,0.0007375
QF4YHM8,807,62,19.95,4,17,0.000775,0.000766666666666667
QF4YHM8,808,62,19.65,5,25,6e-04,0.00112
QF4YHM8,809,81,22.49,8,22,0.0009125,0.000861538461538462
QF4YHM8,810,61,18.48,3,26,0.000733333333333333,0.000866666666666667
QF4YHM8,811,61,20.41,1,NA,0.000266666666666667,NA
QF4YHM8,812,64,20.15,3,23,0.000666666666666667,8e-04
QF4YHM8,813,68,20.15,3,21,0.00106666666666667,0.000945454545454545
QF4YHM8,814,68,20.21,3,22,8e-04,NA
QF4YHM8,815,68,19.98,4,21,0.001,0.000985714285714286
QF4YHM8,822,86,23.22,16,26,0.00069375,0.0007375
QF4YHM8,823,86,22.92,11,25,0.000845454545454545,0.000776470588235294
QF4YHM8,824,90,22.09,8,24,0.0008125,0.000946666666666667
QF4YHM8,825,75,18.74,4,24,0.00075,0.000676923076923077
QF4YHM8,864,83,19.73,3,30,8e-04,4e-04
QF4YHM8,869,75,18.05,3,29,0.000733333333333333,0.001025
QF4YHM8,870,64,19.04,8,23,NA,0.000588888888888889
QF4YHM8,871,62,19.04,4,21,0.00075,0.000663636363636364
QF4YHM8,874,66,17.8,4,NA,0.000675,NA
QF4YHM8,875,66,18.76,5,26,NA,0.000692307692307692
QF4YHM8,876,66,19.86,7,25,0.000585714285714286,0.000654545454545455
QF4YHM8,877,95,20.32,8,32,0.0007125,0.000845454545454545
QF4YHM8,878,91,22.29,13,26,0.000676923076923077,0.000714285714285714
QF4YHM8,879,100,21.61,14,30,0.000842857142857143,0.000811764705882353
QF4YHM8,881,83,21.1,2,26,7e-04,0.000766666666666667
QF4YHM8,883,71,18.54,2,25,7e-04,0.00108333333333333
QF4YHM8,894,84,21.84,10,26,0.00074,0.00079375
QF4YHM8,895,86,22.16,11,28,NA,0.000827777777777778
QF4YHM8,896,78,21.31,14,26,0.000692857142857143,NA
QF4YHM8,906,72,19.35,5,NA,0.00076,NA
QF4YHM8,907,72,19.2,4,23,5e-04,7e-04
QF4YHM8,908,68,18.96,3,21,0.000633333333333333,7e-04
QF4YHM8,909,65,17.88,5,25,0.00044,6e-04
QF4YHM8,910,98,20.04,11,32,0.000718181818181818,0.000781818181818182
QF4YHM8,911,76,21.54,1,18,0.002,0.000835714285714286
QF4YHM8,912,68,18.09,4,21,0.000575,0.00077
QF4YHM8,913,69,20.98,2,23,0.00045,0.000226666666666667
QF4YHM8,915,65,19.65,9,24,0.000477777777777778,0.000666666666666667
QF4YHM8,934,68,17.55,4,27,0.000425,8e-04
QF4YHM8,935,115,25.66,26,31,0.000980769230769231,0.00094
QF4YHM8,938,102,19.81,7,27,0.000871428571428571,6e-04
QF4YHM8,940,78,19.46,3,30,0.00103333333333333,0.000933333333333333
QF4YHM8,941,70,20.59,2,28,0.00075,0.000733333333333333
QF2YHM2,506,74,18.72,6,25,8e-04,0.0008125
QF2YHM2,507,70,19.04,4,27,0.000775,0.00092
QF2YHM2,508,74,18.65,6,23,7e-04,0.00081
QF2YHM2,509,97,20.52,10,26,0.00097,0.000975
QF2YHM2,510,68,18.51,5,28,0.000675,0.000822222222222222
QF2YHM2,531,66,18.68,3,23,0.000666666666666667,0.0008125
QF2YHM2,532,70,19.52,1,24,7e-04,0.00101
QF2YHM2,533,91,23.39,14,25,0.000692857142857143,0.00086
QF2YHM2,534,67,19.72,4,21,0.00065,0.0007125
QF2YHM2,535,74,20.5,4,23,0.001,0.000769230769230769
QF2YHM2,536,71,19.31,5,24,8e-04,0.001
QF2YHM2,537,84,19.07,6,27,0.00116666666666667,0.000923076923076923
QF2YHM2,564,66,19.25,4,24,0.00075,0.000769230769230769
QF2YHM2,565,80,18.97,3,27,0.000833333333333333,0.000925
QF2YHM2,642,68,17.79,6,26,0.000833333333333333,7e-04
QF2YHM2,644,68,18.67,6,26,0.00075,6e-04
QF2YHM2,646,68,19.11,6,22,0.000666666666666667,0.000666666666666667
QF2YHM2,651,73,19.29,1,23,1e-04,0.001
QF2YHM2,653,78,18.84,4,25,9e-04,0.00115
QF2YHM2,656,90,20.59,10,NA,9e-04,NA
QF2YHM2,657,67,18.57,6,25,0.000833333333333333,7e-04
QF2YHM2,658,70,17.42,6,27,0.001,9e-04
QF2YHM2,671,89,21.76,9,24,0.000811111111111111,0.000793333333333333
QF2YHM2,672,96,20.29,4,25,0.000925,0.000890909090909091
QF2YHM2,673,73,17.14,8,28,0.001,0.000909090909090909
QF2YHM2,674,82,18.24,6,29,0.000716666666666667,0.000808333333333333
QF2YHM2,675,102,20.49,10,27,0.00068,0.000992857142857143
QF2YHM2,676,82,19.5,5,27,0.00082,0.000857142857142857
QF2YHM2,677,75,18.99,2,23,0.0015,0.00116666666666667
QF2YHM2,690,68,19.47,2,23,0.001,0.000818181818181818
QF2YHM2,691,82,20.85,3,22,6e-04,0.000414285714285714
QF2YHM2,692,77,19.71,3,26,0.00133333333333333,0.000666666666666667
QF2YHM2,693,69,20.13,8,24,0.00075,0.000705882352941177
QF2YHM2,703,89,23.54,8,22,0.0008625,9e-04
QF2YHM2,706,73,18.76,1,22,9e-04,0.000771428571428571
QF2YHM2,722,82,21.13,3,25,0.000833333333333333,0.00065
QF2YHM2,723,98,22.76,11,24,0.000836363636363636,0.00076875
QF2YHM2,724,75,19.91,6,26,0.000685714285714286,0.0008125
QF2YHM2,725,74,19.8,5,26,0.00066,0.000753846153846154
QF2YHM2,727,63,19.21,2,20,5e-04,0.000688888888888889
QF2YHM2,729,67,18.06,2,23,6e-04,0.000733333333333333
QF2YHM2,730,87,23.01,1,23,4e-04,0.001
QF2YHM2,731,95,21.53,11,22,0.000818181818181818,0.000778571428571429
QF2YHM2,737,63,18.11,2,33,6e-04,0.000771428571428571
QF2YHM2,739,59,17.97,4,23,6e-04,0.000645454545454546
QF2YHM2,741,73,17.48,2,23,5e-04,0.000588888888888889
QF2YHM2,742,68,18.01,7,NA,0.000614285714285714,NA
QF2YHM2,743,90,21.04,5,28,0.00066,0.000764285714285714
QF2YHM2,766,63,17.58,1,23,3e-04,0.000685714285714286
QF2YHM2,767,65,19.01,7,22,0.000371428571428571,0.000672727272727273
QF2YHM2,768,63,17.54,4,21,5e-04,0.000625
QF2YHM2,769,63,20.09,3,21,5e-04,0.000653846153846154
QF2YHM2,770,64,20.45,7,22,0.000583333333333333,0.000657142857142857
QF2YHM2,771,70,18.51,6,21,0.00065,0.000525
QF2YHM2,772,69,20.23,1,25,6e-04,0.000636363636363636
QF2YHM2,773,63,19.33,2,19,0.00055,0.000666666666666667
QF2YHM2,774,67,18.95,5,24,6e-04,0.000736363636363636
QF2YHM2,775,67,19.74,7,27,0.00055,0.000669230769230769
QF2YHM2,853,67,20.09,3,23,0.000666666666666667,0.0006625
QF2YHM2,855,102,21.35,15,29,0.00068,0
QF2YHM2,NA,100,20.86,13,32,NA,NA
QF2YHM2,859,62,20.13,3,21,0.000666666666666667,0.000628571428571429
QF2YHM2,860,86,20.69,3,25,0.0011,0.00075
QF2YHM2,862,65,19.32,2,20,0.00055,0
QF2YHM2,885,69,19.24,6,28,NA,0.000816666666666667
QF2YHM2,887,81,21.02,7,29,0.000611764705882353,NA
QF2YHM2,888,68,19.85,2,21,8e-04,0.000966666666666667
QF2YHM2,945,104,21.75,1,NA,0.0014,NA
QF2YHM2,947,73,19.09,3,28,0.000833333333333333,0.00101666666666667
QF2YHM2,949,105,22.11,1,28,0.001,5e-04
QF2YHM2,952,75,20.33,4,31,0.000725,0.00098
QF2YHM2,954,87,19.78,6,NA,0.000833333333333333,NA
QF2YHM2,955,66,20.51,3,26,0.000733333333333333,0.000946153846153846
